symbol,timeframe,bars,start,end,path,status
BNB/USDT,15m,223088,2020-01-01,2026-05-14,data\15m\BNBUSDT.csv,OK
BTC/USDT,15m,223088,2020-01-01,2026-05-14,data\15m\BTCUSDT.csv,OK
DOGE/USDT,15m,223088,2020-01-01,2026-05-14,data\15m\DOGEUSDT.csv,OK
ETH/USDT,15m,223088,2020-01-01,2026-05-14,data\15m\ETHUSDT.csv,OK
SOL/USDT,15m,201715,2020-08-11,2026-05-14,data\15m\SOLUSDT.csv,OK
XRP/USDT,15m,223088,2020-01-01,2026-05-14,data\15m\XRPUSDT.csv,OK
AVAX/USDT,15m,197681,2020-09-22,2026-05-14,data\15m\AVAXUSDT.csv,OK
LINK/USDT,15m,223089,2020-01-01,2026-05-14,data\15m\LINKUSDT.csv,OK
ADA/USDT,15m,223089,2020-01-01,2026-05-14,data\15m\ADAUSDT.csv,OK
MATIC/USDT,15m,164403,2020-01-01,2024-09-10,data\15m\MATICUSDT.csv,OK
LTC/USDT,15m,223089,2020-01-01,2026-05-14,data\15m\LTCUSDT.csv,OK
BNB/USDT,1h,55779,2020-01-01,2026-05-14,data\1h\BNBUSDT.csv,OK
BTC/USDT,1h,55779,2020-01-01,2026-05-14,data\1h\BTCUSDT.csv,OK
DOGE/USDT,1h,55779,2020-01-01,2026-05-14,data\1h\DOGEUSDT.csv,OK
ETH/USDT,1h,55779,2020-01-01,2026-05-14,data\1h\ETHUSDT.csv,OK
SOL/USDT,1h,50433,2020-08-11,2026-05-14,data\1h\SOLUSDT.csv,OK
XRP/USDT,1h,55779,2020-01-01,2026-05-14,data\1h\XRPUSDT.csv,OK
AVAX/USDT,1h,49425,2020-09-22,2026-05-14,data\1h\AVAXUSDT.csv,OK
LINK/USDT,1h,55779,2020-01-01,2026-05-14,data\1h\LINKUSDT.csv,OK
ADA/USDT,1h,55779,2020-01-01,2026-05-14,data\1h\ADAUSDT.csv,OK
MATIC/USDT,1h,41107,2020-01-01,2024-09-10,data\1h\MATICUSDT.csv,OK
LTC/USDT,1h,55779,2020-01-01,2026-05-14,data\1h\LTCUSDT.csv,OK
BNB/USDT,4h,13952,2020-01-01,2026-05-14,data\4h\BNBUSDT.csv,OK
BTC/USDT,4h,13952,2020-01-01,2026-05-14,data\4h\BTCUSDT.csv,OK
DOGE/USDT,4h,13952,2020-01-01,2026-05-14,data\4h\DOGEUSDT.csv,OK
ETH/USDT,4h,13952,2020-01-01,2026-05-14,data\4h\ETHUSDT.csv,OK
SOL/USDT,4h,12614,2020-08-11,2026-05-14,data\4h\SOLUSDT.csv,OK
XRP/USDT,4h,13952,2020-01-01,2026-05-14,data\4h\XRPUSDT.csv,OK
AVAX/USDT,4h,12362,2020-09-22,2026-05-14,data\4h\AVAXUSDT.csv,OK
LINK/USDT,4h,13952,2020-01-01,2026-05-14,data\4h\LINKUSDT.csv,OK
ADA/USDT,4h,13952,2020-01-01,2026-05-14,data\4h\ADAUSDT.csv,OK
MATIC/USDT,4h,10284,2020-01-01,2024-09-10,data\4h\MATICUSDT.csv,OK
LTC/USDT,4h,13952,2020-01-01,2026-05-14,data\4h\LTCUSDT.csv,OK
BNB/USDT,1d,2326,2020-01-01,2026-05-14,data\1d\BNBUSDT.csv,OK
BTC/USDT,1d,2326,2020-01-01,2026-05-14,data\1d\BTCUSDT.csv,OK
DOGE/USDT,1d,2326,2020-01-01,2026-05-14,data\1d\DOGEUSDT.csv,OK
ETH/USDT,1d,2326,2020-01-01,2026-05-14,data\1d\ETHUSDT.csv,OK
SOL/USDT,1d,2103,2020-08-11,2026-05-14,data\1d\SOLUSDT.csv,OK
XRP/USDT,1d,2326,2020-01-01,2026-05-14,data\1d\XRPUSDT.csv,OK
AVAX/USDT,1d,2061,2020-09-22,2026-05-14,data\1d\AVAXUSDT.csv,OK
LINK/USDT,1d,2326,2020-01-01,2026-05-14,data\1d\LINKUSDT.csv,OK
ADA/USDT,1d,2326,2020-01-01,2026-05-14,data\1d\ADAUSDT.csv,OK
MATIC/USDT,1d,1715,2020-01-01,2024-09-10,data\1d\MATICUSDT.csv,OK
LTC/USDT,1d,2326,2020-01-01,2026-05-14,data\1d\LTCUSDT.csv,OK
