symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
ADAUSDT,4h,5,30,612.35,-63.94,0.276,257,24.12,1.162
ADAUSDT,4h,5,50,1017.79,-69.68,0.311,223,20.63,1.262
ADAUSDT,4h,5,75,1444.96,-65.52,0.336,199,16.08,1.224
ADAUSDT,4h,5,100,1368.47,-72.91,0.329,183,16.94,1.194
ADAUSDT,4h,5,150,1093.52,-75.96,0.31,161,14.29,1.159
ADAUSDT,4h,10,30,841.47,-73.65,0.3,237,23.21,1.203
ADAUSDT,4h,10,50,1466.34,-64.77,0.339,189,21.69,1.234
ADAUSDT,4h,10,75,2290.19,-69.81,0.371,169,20.12,1.223
ADAUSDT,4h,10,100,2017.08,-69.91,0.359,159,18.24,1.225
ADAUSDT,4h,10,150,1348.81,-75.06,0.325,159,17.61,1.171
ADAUSDT,4h,15,30,517.51,-68.18,0.263,227,25.11,1.118
ADAUSDT,4h,15,50,1354.02,-65.65,0.333,171,22.81,1.221
ADAUSDT,4h,15,75,1557.29,-68.94,0.341,163,17.79,1.234
ADAUSDT,4h,15,100,1909.91,-70.53,0.354,147,19.05,1.232
ADAUSDT,4h,15,150,1869.78,-69.95,0.35,145,19.31,1.209
ADAUSDT,4h,20,30,223.87,-77.22,0.206,223,26.46,1.107
ADAUSDT,4h,20,50,1633.82,-75.01,0.348,167,23.35,1.256
ADAUSDT,4h,20,75,2489.37,-63.84,0.378,157,20.38,1.297
ADAUSDT,4h,20,100,1950.87,-66.86,0.356,142,17.61,1.24
ADAUSDT,4h,20,150,2216.96,-70.67,0.363,135,18.52,1.252
ADAUSDT,4h,30,50,2119.64,-66.06,0.369,169,26.63,1.32
ADAUSDT,4h,30,75,2310.55,-63.3,0.372,155,21.94,1.366
ADAUSDT,4h,30,100,1788.47,-70.35,0.351,143,16.08,1.324
ADAUSDT,4h,30,150,3003.73,-67.21,0.388,130,17.69,1.385
ADAUSDT,4h,40,50,1210.98,-63.86,0.326,187,27.81,1.229
ADAUSDT,4h,40,75,683.87,-76.04,0.28,165,20.61,1.2
ADAUSDT,4h,40,100,769.75,-72.29,0.288,158,19.62,1.175
ADAUSDT,4h,40,150,1722.3,-68.26,0.347,130,17.69,1.221
AVAXUSDT,4h,5,30,3761.85,-73.52,0.424,185,30.81,1.296
AVAXUSDT,4h,5,50,2339.04,-69.71,0.382,171,25.73,1.28
AVAXUSDT,4h,5,75,8144.93,-61.67,0.473,151,21.85,1.436
AVAXUSDT,4h,5,100,8089.82,-74.04,0.467,144,18.75,1.618
AVAXUSDT,4h,5,150,2097.74,-83.83,0.364,142,14.08,1.34
AVAXUSDT,4h,10,30,2318.66,-66.37,0.386,170,26.47,1.339
AVAXUSDT,4h,10,50,3537.19,-69.72,0.412,152,25.0,1.337
AVAXUSDT,4h,10,75,3806.44,-69.5,0.414,139,18.71,1.348
AVAXUSDT,4h,10,100,3737.56,-66.65,0.409,129,19.38,1.449
AVAXUSDT,4h,10,150,1804.93,-80.23,0.353,136,18.38,1.318
AVAXUSDT,4h,15,30,1131.97,-67.67,0.328,174,22.99,1.177
AVAXUSDT,4h,15,50,3103.13,-64.56,0.402,151,21.85,1.26
AVAXUSDT,4h,15,75,3865.61,-66.54,0.415,137,19.71,1.344
AVAXUSDT,4h,15,100,3226.93,-66.32,0.398,126,20.63,1.355
AVAXUSDT,4h,15,150,1348.43,-77.88,0.333,133,17.29,1.286
AVAXUSDT,4h,20,30,954.77,-70.93,0.315,181,29.28,1.15
AVAXUSDT,4h,20,50,2201.2,-69.3,0.375,145,22.07,1.299
AVAXUSDT,4h,20,75,4278.95,-63.65,0.424,131,21.37,1.433
AVAXUSDT,4h,20,100,2751.58,-67.34,0.387,126,22.22,1.343
AVAXUSDT,4h,20,150,1781.99,-78.58,0.353,130,16.92,1.299
AVAXUSDT,4h,30,50,2337.8,-70.16,0.379,143,20.98,1.323
AVAXUSDT,4h,30,75,3456.1,-56.72,0.407,124,20.16,1.367
AVAXUSDT,4h,30,100,4319.35,-66.89,0.421,124,20.16,1.418
AVAXUSDT,4h,30,150,1803.44,-76.29,0.354,122,18.03,1.314
AVAXUSDT,4h,40,50,3665.3,-63.98,0.414,156,26.28,1.329
AVAXUSDT,4h,40,75,5605.59,-63.33,0.444,128,22.66,1.591
AVAXUSDT,4h,40,100,5948.66,-63.36,0.446,121,23.97,1.557
AVAXUSDT,4h,40,150,2607.38,-78.72,0.38,119,19.33,1.398
BNBUSDT,4h,5,30,870.96,-59.12,0.331,294,28.23,1.213
BNBUSDT,4h,5,50,1213.53,-49.47,0.354,238,26.05,1.267
BNBUSDT,4h,5,75,805.63,-66.7,0.31,210,22.86,1.238
BNBUSDT,4h,5,100,2064.72,-57.06,0.389,177,21.47,1.409
BNBUSDT,4h,5,150,2539.38,-59.83,0.402,168,19.05,1.407
BNBUSDT,4h,10,30,1204.28,-55.55,0.36,258,27.52,1.204
BNBUSDT,4h,10,50,2205.46,-47.26,0.411,200,27.5,1.363
BNBUSDT,4h,10,75,1130.67,-64.88,0.341,181,22.1,1.237
BNBUSDT,4h,10,100,1782.55,-57.63,0.376,158,21.52,1.373
BNBUSDT,4h,10,150,2256.09,-63.97,0.392,156,19.23,1.354
BNBUSDT,4h,15,30,968.53,-54.09,0.338,256,32.03,1.206
BNBUSDT,4h,15,50,2381.65,-46.25,0.42,185,26.49,1.421
BNBUSDT,4h,15,75,1178.35,-66.43,0.344,166,22.29,1.252
BNBUSDT,4h,15,100,1763.4,-59.63,0.375,154,22.08,1.396
BNBUSDT,4h,15,150,2442.04,-63.43,0.4,158,20.25,1.381
BNBUSDT,4h,20,30,1125.08,-52.58,0.352,273,31.14,1.258
BNBUSDT,4h,20,50,2004.49,-60.43,0.403,175,26.86,1.387
BNBUSDT,4h,20,75,1227.53,-64.67,0.349,162,24.69,1.273
BNBUSDT,4h,20,100,1962.56,-59.03,0.385,155,25.16,1.401
BNBUSDT,4h,20,150,2116.49,-62.57,0.388,161,21.12,1.339
BNBUSDT,4h,30,50,1454.98,-61.34,0.371,184,27.17,1.275
BNBUSDT,4h,30,75,1663.22,-60.71,0.38,164,21.95,1.346
BNBUSDT,4h,30,100,1729.12,-67.26,0.375,159,22.64,1.337
BNBUSDT,4h,30,150,2403.9,-61.13,0.4,143,20.98,1.428
BNBUSDT,4h,40,50,1295.69,-58.19,0.361,204,30.39,1.262
BNBUSDT,4h,40,75,1425.9,-64.14,0.364,169,27.22,1.293
BNBUSDT,4h,40,100,1440.55,-55.96,0.359,153,22.88,1.356
BNBUSDT,4h,40,150,2185.92,-58.53,0.393,141,19.86,1.469
BTCUSDT,4h,5,30,487.89,-39.86,0.333,279,27.24,1.38
BTCUSDT,4h,5,50,588.51,-38.5,0.353,217,26.73,1.489
BTCUSDT,4h,5,75,360.79,-43.17,0.286,196,20.41,1.419
BTCUSDT,4h,5,100,487.09,-50.24,0.314,184,19.02,1.494
BTCUSDT,4h,5,150,1117.64,-44.33,0.406,141,19.86,1.774
BTCUSDT,4h,10,30,390.46,-46.65,0.305,243,27.16,1.377
BTCUSDT,4h,10,50,703.48,-41.45,0.374,187,27.27,1.598
BTCUSDT,4h,10,75,519.82,-47.67,0.329,168,22.02,1.499
BTCUSDT,4h,10,100,918.33,-43.46,0.393,152,22.37,1.748
BTCUSDT,4h,10,150,840.95,-42.7,0.373,135,19.26,1.661
BTCUSDT,4h,15,30,433.11,-50.4,0.317,229,32.75,1.401
BTCUSDT,4h,15,50,426.61,-48.13,0.31,182,24.18,1.463
BTCUSDT,4h,15,75,469.07,-49.94,0.316,158,21.52,1.479
BTCUSDT,4h,15,100,966.88,-43.37,0.401,143,21.68,1.748
BTCUSDT,4h,15,150,919.63,-43.12,0.385,123,19.51,1.673
BTCUSDT,4h,20,30,220.77,-48.11,0.238,249,32.13,1.288
BTCUSDT,4h,20,50,486.56,-48.55,0.327,168,25.6,1.487
BTCUSDT,4h,20,75,467.84,-47.7,0.315,151,21.85,1.419
BTCUSDT,4h,20,100,1071.98,-42.1,0.413,135,22.22,1.772
BTCUSDT,4h,20,150,879.46,-44.78,0.38,120,19.17,1.645
BTCUSDT,4h,30,50,766.96,-40.64,0.385,172,26.16,1.492
BTCUSDT,4h,30,75,812.24,-44.33,0.385,140,22.14,1.581
BTCUSDT,4h,30,100,1232.72,-45.31,0.431,127,20.47,1.665
BTCUSDT,4h,30,150,806.48,-46.33,0.372,116,24.14,1.671
BTCUSDT,4h,40,50,853.45,-39.23,0.397,182,29.67,1.419
BTCUSDT,4h,40,75,770.76,-40.34,0.378,136,25.0,1.487
BTCUSDT,4h,40,100,703.22,-47.63,0.36,134,20.9,1.552
BTCUSDT,4h,40,150,572.47,-43.51,0.331,124,19.35,1.519
