fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
5,30,-28.55,-49.29,-0.164,146,27.4,0.793
5,50,-34.56,-50.28,-0.217,121,28.1,0.674
5,75,-25.42,-46.91,-0.138,96,19.79,0.751
5,100,-21.2,-48.0,-0.105,82,25.61,0.749
5,150,0.31,-38.06,0.028,56,26.79,0.975
5,200,-16.62,-48.29,-0.053,54,24.07,0.702
10,30,-19.66,-45.57,-0.099,139,29.5,0.852
10,50,-27.38,-49.19,-0.156,110,31.82,0.745
10,75,-7.53,-42.13,-0.017,83,27.71,0.9
10,100,-19.02,-45.75,-0.089,75,24.0,0.776
10,150,-0.78,-38.11,0.023,56,25.0,0.961
10,200,-15.59,-48.35,-0.047,55,23.64,0.744
15,30,-23.04,-49.04,-0.121,147,30.61,0.845
15,50,-3.9,-36.66,0.004,104,37.5,0.945
15,75,-20.71,-44.83,-0.103,87,27.59,0.772
15,100,-7.35,-39.13,-0.016,70,28.57,0.898
15,150,-24.64,-50.51,-0.101,58,22.41,0.621
15,200,-18.35,-50.42,-0.063,57,29.82,0.721
20,30,-8.34,-45.34,-0.025,149,36.91,0.947
20,50,-8.41,-31.39,-0.023,101,34.65,0.893
20,75,-4.52,-37.21,0.001,82,34.15,0.933
20,100,4.04,-36.42,0.048,62,30.65,1.021
20,150,-31.44,-53.64,-0.146,63,22.22,0.567
20,200,-17.91,-50.85,-0.062,52,23.08,0.711
30,50,-18.81,-37.59,-0.095,117,40.17,0.808
30,75,-2.1,-33.99,0.014,84,38.1,0.957
30,100,2.44,-35.86,0.039,60,35.0,1.002
30,150,-21.87,-50.9,-0.083,62,30.65,0.686
30,200,-13.61,-49.64,-0.036,56,26.79,0.796
40,50,-28.94,-44.0,-0.168,123,35.77,0.744
40,75,-10.99,-40.7,-0.038,79,32.91,0.867
40,100,1.71,-37.87,0.036,69,34.78,0.994
40,150,-19.6,-52.55,-0.068,65,27.69,0.734
40,200,-24.4,-56.21,-0.095,59,27.12,0.659
