symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
ADAUSDT,4h,5,30,612.35,-63.94,0.276,257,24.12,1.162
ADAUSDT,4h,5,50,1017.79,-69.68,0.311,223,20.63,1.262
ADAUSDT,4h,5,75,1444.96,-65.52,0.336,199,16.08,1.224
ADAUSDT,4h,5,100,1368.47,-72.91,0.329,183,16.94,1.194
ADAUSDT,4h,5,150,1093.52,-75.96,0.31,161,14.29,1.159
ADAUSDT,4h,10,30,841.47,-73.65,0.3,237,23.21,1.203
ADAUSDT,4h,10,50,1466.34,-64.77,0.339,189,21.69,1.234
ADAUSDT,4h,10,75,2290.19,-69.81,0.371,169,20.12,1.223
ADAUSDT,4h,10,100,2017.08,-69.91,0.359,159,18.24,1.225
ADAUSDT,4h,10,150,1348.81,-75.06,0.325,159,17.61,1.171
ADAUSDT,4h,15,30,517.51,-68.18,0.263,227,25.11,1.118
ADAUSDT,4h,15,50,1354.02,-65.65,0.333,171,22.81,1.221
ADAUSDT,4h,15,75,1557.29,-68.94,0.341,163,17.79,1.234
ADAUSDT,4h,15,100,1909.91,-70.53,0.354,147,19.05,1.232
ADAUSDT,4h,15,150,1869.78,-69.95,0.35,145,19.31,1.209
ADAUSDT,4h,20,30,223.87,-77.22,0.206,223,26.46,1.107
ADAUSDT,4h,20,50,1633.82,-75.01,0.348,167,23.35,1.256
ADAUSDT,4h,20,75,2489.37,-63.84,0.378,157,20.38,1.297
ADAUSDT,4h,20,100,1950.87,-66.86,0.356,142,17.61,1.24
ADAUSDT,4h,20,150,2216.96,-70.67,0.363,135,18.52,1.252
ADAUSDT,4h,30,50,2119.64,-66.06,0.369,169,26.63,1.32
ADAUSDT,4h,30,75,2310.55,-63.3,0.372,155,21.94,1.366
ADAUSDT,4h,30,100,1788.47,-70.35,0.351,143,16.08,1.324
ADAUSDT,4h,30,150,3003.73,-67.21,0.388,130,17.69,1.385
ADAUSDT,4h,40,50,1210.98,-63.86,0.326,187,27.81,1.229
ADAUSDT,4h,40,75,683.87,-76.04,0.28,165,20.61,1.2
ADAUSDT,4h,40,100,769.75,-72.29,0.288,158,19.62,1.175
ADAUSDT,4h,40,150,1722.3,-68.26,0.347,130,17.69,1.221
