symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
AVAXUSDT,4h,5,30,3761.85,-73.52,0.424,185,30.81,1.296
AVAXUSDT,4h,5,50,2339.04,-69.71,0.382,171,25.73,1.28
AVAXUSDT,4h,5,75,8144.93,-61.67,0.473,151,21.85,1.436
AVAXUSDT,4h,5,100,8089.82,-74.04,0.467,144,18.75,1.618
AVAXUSDT,4h,5,150,2097.74,-83.83,0.364,142,14.08,1.34
AVAXUSDT,4h,10,30,2318.66,-66.37,0.386,170,26.47,1.339
AVAXUSDT,4h,10,50,3537.19,-69.72,0.412,152,25.0,1.337
AVAXUSDT,4h,10,75,3806.44,-69.5,0.414,139,18.71,1.348
AVAXUSDT,4h,10,100,3737.56,-66.65,0.409,129,19.38,1.449
AVAXUSDT,4h,10,150,1804.93,-80.23,0.353,136,18.38,1.318
AVAXUSDT,4h,15,30,1131.97,-67.67,0.328,174,22.99,1.177
AVAXUSDT,4h,15,50,3103.13,-64.56,0.402,151,21.85,1.26
AVAXUSDT,4h,15,75,3865.61,-66.54,0.415,137,19.71,1.344
AVAXUSDT,4h,15,100,3226.93,-66.32,0.398,126,20.63,1.355
AVAXUSDT,4h,15,150,1348.43,-77.88,0.333,133,17.29,1.286
AVAXUSDT,4h,20,30,954.77,-70.93,0.315,181,29.28,1.15
AVAXUSDT,4h,20,50,2201.2,-69.3,0.375,145,22.07,1.299
AVAXUSDT,4h,20,75,4278.95,-63.65,0.424,131,21.37,1.433
AVAXUSDT,4h,20,100,2751.58,-67.34,0.387,126,22.22,1.343
AVAXUSDT,4h,20,150,1781.99,-78.58,0.353,130,16.92,1.299
AVAXUSDT,4h,30,50,2337.8,-70.16,0.379,143,20.98,1.323
AVAXUSDT,4h,30,75,3456.1,-56.72,0.407,124,20.16,1.367
AVAXUSDT,4h,30,100,4319.35,-66.89,0.421,124,20.16,1.418
AVAXUSDT,4h,30,150,1803.44,-76.29,0.354,122,18.03,1.314
AVAXUSDT,4h,40,50,3665.3,-63.98,0.414,156,26.28,1.329
AVAXUSDT,4h,40,75,5605.59,-63.33,0.444,128,22.66,1.591
AVAXUSDT,4h,40,100,5948.66,-63.36,0.446,121,23.97,1.557
AVAXUSDT,4h,40,150,2607.38,-78.72,0.38,119,19.33,1.398
