fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
5,30,-18.63,-37.13,-0.096,167,30.54,0.841
5,50,-11.9,-35.97,-0.047,133,27.82,0.876
5,75,-8.4,-35.99,-0.021,113,23.01,0.898
5,100,-8.95,-40.46,-0.024,99,22.22,0.825
5,150,-9.79,-44.36,-0.025,96,17.71,0.82
10,30,-15.16,-36.63,-0.074,142,30.28,0.866
10,50,11.84,-29.89,0.089,106,34.91,1.12
10,75,4.08,-35.78,0.048,91,25.27,1.003
10,100,-13.67,-41.55,-0.053,93,22.58,0.787
10,150,-9.85,-43.1,-0.026,82,15.85,0.808
15,30,-7.17,-32.2,-0.019,144,32.64,0.937
15,50,15.36,-29.92,0.107,102,31.37,1.134
15,75,-4.81,-33.34,-0.001,93,24.73,0.903
15,100,-10.68,-40.22,-0.035,90,17.78,0.814
15,150,-10.17,-44.07,-0.028,83,18.07,0.802
20,30,6.31,-32.67,0.061,148,35.14,1.054
20,50,2.26,-31.14,0.038,103,31.07,0.994
20,75,0.61,-31.97,0.029,90,30.0,0.975
20,100,-2.07,-37.7,0.014,86,17.44,0.891
20,150,-15.28,-46.02,-0.059,82,20.73,0.754
30,50,-3.08,-34.03,0.007,107,35.51,0.933
30,75,-2.14,-33.86,0.013,94,24.47,0.935
30,100,4.77,-35.19,0.052,87,25.29,0.966
30,150,-19.52,-49.34,-0.087,87,19.54,0.725
40,50,-13.02,-39.75,-0.055,120,33.33,0.855
40,75,-10.58,-39.7,-0.037,95,25.26,0.838
40,100,-7.45,-41.3,-0.017,89,25.84,0.826
40,150,-18.62,-49.18,-0.082,91,20.88,0.726
