symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
BNBUSDT,1h,5,30,24.06,-76.89,0.052,1162,25.47,1.01
BNBUSDT,1h,5,50,80.21,-78.2,0.074,977,22.52,1.027
BNBUSDT,1h,5,75,565.7,-52.18,0.142,846,19.98,1.096
BNBUSDT,1h,5,100,1034.63,-54.66,0.169,763,18.35,1.11
BNBUSDT,1h,5,150,957.61,-48.86,0.162,715,16.36,1.139
BNBUSDT,1h,10,30,96.94,-72.2,0.078,1006,27.63,1.032
BNBUSDT,1h,10,50,86.77,-71.54,0.075,846,23.52,1.041
BNBUSDT,1h,10,75,1149.92,-48.75,0.175,717,22.04,1.149
BNBUSDT,1h,10,100,1276.8,-51.75,0.179,679,19.44,1.134
BNBUSDT,1h,10,150,1029.02,-54.69,0.165,638,17.24,1.15
BNBUSDT,1h,15,30,-2.33,-82.98,0.039,988,28.04,0.999
BNBUSDT,1h,15,50,248.18,-66.7,0.109,798,25.19,1.078
BNBUSDT,1h,15,75,1183.75,-44.51,0.177,685,22.04,1.145
BNBUSDT,1h,15,100,1310.9,-52.43,0.18,657,17.96,1.128
BNBUSDT,1h,15,150,1019.98,-53.23,0.165,612,18.14,1.167
BNBUSDT,1h,20,30,23.93,-78.55,0.052,1019,29.54,1.012
BNBUSDT,1h,20,50,377.28,-51.49,0.126,768,27.08,1.098
BNBUSDT,1h,20,75,1453.91,-45.43,0.187,679,22.53,1.163
BNBUSDT,1h,20,100,1531.55,-50.67,0.187,643,18.66,1.141
BNBUSDT,1h,20,150,988.87,-50.86,0.164,603,20.56,1.16
BNBUSDT,1h,30,50,274.63,-61.91,0.113,790,27.97,1.073
BNBUSDT,1h,30,75,1567.83,-51.67,0.191,688,21.22,1.137
BNBUSDT,1h,30,100,1291.51,-60.21,0.179,643,19.75,1.132
BNBUSDT,1h,30,150,1298.56,-50.32,0.177,593,21.25,1.169
BNBUSDT,1h,40,50,180.39,-69.11,0.098,895,29.05,1.046
BNBUSDT,1h,40,75,1026.83,-62.59,0.171,689,22.35,1.108
BNBUSDT,1h,40,100,1229.09,-54.95,0.177,639,21.6,1.126
BNBUSDT,1h,40,150,1300.19,-49.74,0.177,585,21.54,1.184
