symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
DOGEUSDT,1h,5,30,6841.84,-85.09,0.198,1139,21.69,1.094
DOGEUSDT,1h,5,50,4303.57,-76.23,0.184,948,19.2,1.121
DOGEUSDT,1h,5,75,2094.0,-83.14,0.163,833,16.21,1.134
DOGEUSDT,1h,5,100,4942.33,-73.74,0.186,786,14.89,1.126
DOGEUSDT,1h,5,150,5388.58,-80.15,0.188,736,14.13,1.149
DOGEUSDT,1h,10,30,11597.61,-80.55,0.214,1009,23.49,1.114
DOGEUSDT,1h,10,50,3086.42,-84.25,0.175,861,19.74,1.114
DOGEUSDT,1h,10,75,4976.14,-77.69,0.187,768,16.8,1.16
DOGEUSDT,1h,10,100,6881.09,-71.07,0.195,715,15.66,1.154
DOGEUSDT,1h,10,150,5228.74,-80.4,0.187,674,15.73,1.14
DOGEUSDT,1h,15,30,8446.21,-79.42,0.204,959,23.98,1.134
DOGEUSDT,1h,15,50,6389.62,-74.29,0.195,803,20.92,1.146
DOGEUSDT,1h,15,75,5028.92,-76.52,0.188,728,18.13,1.156
DOGEUSDT,1h,15,100,6301.44,-71.33,0.193,684,16.37,1.174
DOGEUSDT,1h,15,150,3584.73,-80.69,0.178,645,14.11,1.123
DOGEUSDT,1h,20,30,2535.76,-90.0,0.169,989,24.77,1.049
DOGEUSDT,1h,20,50,5963.46,-72.43,0.193,783,21.33,1.176
DOGEUSDT,1h,20,75,3612.23,-75.03,0.178,730,17.26,1.132
DOGEUSDT,1h,20,100,4595.52,-72.12,0.184,668,15.57,1.15
DOGEUSDT,1h,20,150,3763.19,-81.42,0.179,631,14.42,1.132
DOGEUSDT,1h,30,50,4664.03,-73.94,0.186,773,22.9,1.221
DOGEUSDT,1h,30,75,2106.58,-77.64,0.164,707,17.4,1.117
DOGEUSDT,1h,30,100,3088.61,-76.29,0.174,653,15.62,1.16
DOGEUSDT,1h,30,150,2751.18,-81.63,0.171,633,14.85,1.109
DOGEUSDT,1h,40,50,4420.74,-74.4,0.185,836,24.88,1.168
DOGEUSDT,1h,40,75,2148.97,-73.9,0.164,702,16.67,1.114
DOGEUSDT,1h,40,100,4990.12,-74.57,0.187,676,15.98,1.153
DOGEUSDT,1h,40,150,3733.98,-79.73,0.179,607,15.98,1.147
