symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
ETHUSDT,1h,5,30,10.73,-81.66,0.044,1145,23.23,1.004
ETHUSDT,1h,5,50,150.5,-78.02,0.092,984,21.04,1.033
ETHUSDT,1h,5,75,340.82,-65.89,0.123,860,19.42,1.06
ETHUSDT,1h,5,100,384.8,-60.26,0.127,788,18.15,1.071
ETHUSDT,1h,5,150,215.32,-71.16,0.103,721,15.12,1.047
ETHUSDT,1h,10,30,54.1,-81.78,0.064,1028,25.97,1.014
ETHUSDT,1h,10,50,281.97,-73.18,0.117,856,21.5,1.048
ETHUSDT,1h,10,75,397.63,-64.08,0.13,767,19.69,1.067
ETHUSDT,1h,10,100,326.45,-61.51,0.12,708,17.23,1.071
ETHUSDT,1h,10,150,237.98,-66.56,0.107,661,16.64,1.054
ETHUSDT,1h,15,30,26.26,-84.15,0.052,1002,25.65,1.007
ETHUSDT,1h,15,50,636.19,-50.57,0.155,800,23.75,1.085
ETHUSDT,1h,15,75,355.22,-66.73,0.125,728,19.78,1.062
ETHUSDT,1h,15,100,550.31,-56.54,0.144,674,17.66,1.083
ETHUSDT,1h,15,150,226.05,-65.93,0.105,637,15.54,1.056
ETHUSDT,1h,20,30,51.01,-84.18,0.062,1024,26.56,1.011
ETHUSDT,1h,20,50,419.12,-64.69,0.135,789,22.43,1.063
ETHUSDT,1h,20,75,426.61,-64.09,0.133,708,19.35,1.073
ETHUSDT,1h,20,100,249.31,-69.08,0.11,661,17.85,1.056
ETHUSDT,1h,20,150,130.18,-70.31,0.087,616,15.75,1.044
ETHUSDT,1h,30,50,304.46,-66.5,0.12,805,24.47,1.053
ETHUSDT,1h,30,75,186.25,-76.22,0.099,701,19.97,1.047
ETHUSDT,1h,30,100,244.66,-67.29,0.109,639,18.47,1.072
ETHUSDT,1h,30,150,183.5,-68.02,0.098,613,17.13,1.05
ETHUSDT,1h,40,50,246.37,-74.22,0.111,891,26.71,1.042
ETHUSDT,1h,40,75,135.06,-74.22,0.088,714,20.59,1.043
ETHUSDT,1h,40,100,106.0,-70.22,0.081,655,19.24,1.04
ETHUSDT,1h,40,150,155.37,-66.36,0.092,593,17.37,1.052
