symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
LINKUSDT,4h,5,30,258.72,-73.86,0.215,282,28.37,1.071
LINKUSDT,4h,5,50,120.71,-76.55,0.174,249,22.49,1.059
LINKUSDT,4h,5,75,243.54,-76.47,0.211,207,18.84,1.092
LINKUSDT,4h,5,100,183.13,-80.34,0.196,210,15.71,1.083
LINKUSDT,4h,5,150,118.99,-85.1,0.178,200,14.5,1.052
LINKUSDT,4h,10,30,211.65,-75.07,0.202,251,28.69,1.086
LINKUSDT,4h,10,50,222.29,-76.33,0.205,222,23.87,1.077
LINKUSDT,4h,10,75,125.96,-80.02,0.178,201,17.41,1.053
LINKUSDT,4h,10,100,214.51,-78.12,0.205,191,18.32,1.101
LINKUSDT,4h,10,150,85.82,-84.05,0.165,179,14.53,1.041
LINKUSDT,4h,15,30,61.02,-76.66,0.145,243,26.75,1.035
LINKUSDT,4h,15,50,138.71,-81.74,0.18,215,24.65,1.051
LINKUSDT,4h,15,75,94.74,-82.13,0.166,195,19.49,1.044
LINKUSDT,4h,15,100,130.15,-80.84,0.18,186,20.43,1.073
LINKUSDT,4h,15,150,74.11,-84.31,0.16,174,17.82,1.038
LINKUSDT,4h,20,30,32.4,-77.69,0.129,252,28.57,1.02
LINKUSDT,4h,20,50,83.76,-82.86,0.159,219,22.37,1.043
LINKUSDT,4h,20,75,181.75,-85.38,0.195,197,21.83,1.081
LINKUSDT,4h,20,100,23.59,-85.87,0.131,181,17.68,1.015
LINKUSDT,4h,20,150,71.61,-83.82,0.159,170,18.82,1.04
LINKUSDT,4h,30,50,75.4,-81.45,0.155,215,24.19,1.043
LINKUSDT,4h,30,75,120.27,-84.58,0.176,185,18.92,1.062
LINKUSDT,4h,30,100,24.04,-86.64,0.131,179,18.99,1.019
LINKUSDT,4h,30,150,64.77,-86.04,0.155,168,17.26,1.037
LINKUSDT,4h,40,50,158.58,-85.1,0.187,216,25.93,1.075
LINKUSDT,4h,40,75,11.14,-84.2,0.12,186,19.89,1.009
LINKUSDT,4h,40,100,42.53,-81.19,0.141,175,20.57,1.034
LINKUSDT,4h,40,150,-13.99,-89.08,0.104,178,17.98,0.983
