symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
LTCUSDT,1h,5,30,-95.84,-97.33,-0.116,1201,24.48,0.857
LTCUSDT,1h,5,50,-82.98,-90.99,-0.039,1002,22.36,0.908
LTCUSDT,1h,5,75,-70.88,-93.01,-0.01,869,18.3,0.953
LTCUSDT,1h,5,100,-46.17,-91.0,0.022,803,17.81,0.975
LTCUSDT,1h,5,150,-75.66,-97.08,-0.01,757,14.93,0.963
LTCUSDT,1h,10,30,-89.53,-93.73,-0.07,1059,25.12,0.882
LTCUSDT,1h,10,50,-63.76,-87.34,-0.003,897,21.63,0.953
LTCUSDT,1h,10,75,-58.53,-92.32,0.006,787,18.81,0.968
LTCUSDT,1h,10,100,63.26,-83.62,0.072,705,18.16,1.017
LTCUSDT,1h,10,150,-58.0,-95.59,0.013,680,15.29,0.977
LTCUSDT,1h,15,30,-88.18,-94.16,-0.062,1043,25.31,0.902
LTCUSDT,1h,15,50,-62.78,-85.05,-0.001,855,22.92,0.949
LTCUSDT,1h,15,75,-51.81,-89.42,0.013,740,19.19,0.969
LTCUSDT,1h,15,100,10.18,-87.64,0.053,688,18.02,1.004
LTCUSDT,1h,15,150,-57.04,-95.54,0.013,650,16.31,0.977
LTCUSDT,1h,20,30,-89.4,-93.06,-0.068,1052,24.33,0.878
LTCUSDT,1h,20,50,-68.64,-87.98,-0.01,845,22.72,0.944
LTCUSDT,1h,20,75,-63.9,-89.56,0.001,732,19.81,0.945
LTCUSDT,1h,20,100,-19.34,-89.71,0.039,675,17.78,0.992
LTCUSDT,1h,20,150,-67.15,-96.01,0.001,633,16.27,0.969
LTCUSDT,1h,30,50,-80.38,-91.51,-0.033,836,23.44,0.92
LTCUSDT,1h,30,75,-32.86,-86.5,0.03,706,19.26,0.981
LTCUSDT,1h,30,100,-58.45,-92.48,0.009,659,18.21,0.962
LTCUSDT,1h,30,150,-68.35,-96.79,-0.001,632,17.25,0.97
LTCUSDT,1h,40,50,-89.11,-95.33,-0.063,913,25.41,0.895
LTCUSDT,1h,40,75,-53.86,-89.31,0.012,715,20.14,0.96
LTCUSDT,1h,40,100,-56.62,-92.63,0.01,665,18.8,0.964
LTCUSDT,1h,40,150,-53.78,-95.74,0.016,634,17.19,0.978
