symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
MATICUSDT,1h,5,30,143.09,-81.16,0.108,828,25.85,1.034
MATICUSDT,1h,5,50,309.47,-63.55,0.131,707,22.63,1.073
MATICUSDT,1h,5,75,1879.64,-57.59,0.194,605,21.32,1.166
MATICUSDT,1h,5,100,1470.31,-62.76,0.184,569,18.28,1.162
MATICUSDT,1h,5,150,687.7,-74.49,0.158,520,15.96,1.117
MATICUSDT,1h,10,30,591.06,-53.52,0.153,710,27.89,1.099
MATICUSDT,1h,10,50,401.29,-61.82,0.14,610,24.92,1.1
MATICUSDT,1h,10,75,2022.23,-63.28,0.197,542,20.48,1.165
MATICUSDT,1h,10,100,1281.2,-68.03,0.179,537,18.06,1.147
MATICUSDT,1h,10,150,839.18,-73.85,0.164,479,17.12,1.134
MATICUSDT,1h,15,30,430.17,-59.07,0.142,702,28.21,1.094
MATICUSDT,1h,15,50,651.88,-63.99,0.156,585,25.47,1.153
MATICUSDT,1h,15,75,761.35,-67.0,0.161,533,19.89,1.137
MATICUSDT,1h,15,100,1444.83,-69.67,0.184,503,17.89,1.143
MATICUSDT,1h,15,150,995.4,-69.83,0.17,458,17.69,1.148
MATICUSDT,1h,20,30,356.04,-64.91,0.135,719,28.93,1.094
MATICUSDT,1h,20,50,523.15,-65.07,0.148,571,24.87,1.129
MATICUSDT,1h,20,75,837.43,-62.15,0.165,509,21.02,1.134
MATICUSDT,1h,20,100,1700.8,-68.82,0.19,495,18.18,1.139
MATICUSDT,1h,20,150,659.0,-72.72,0.157,449,17.82,1.122
MATICUSDT,1h,30,50,255.74,-71.76,0.126,582,25.6,1.093
MATICUSDT,1h,30,75,243.7,-77.61,0.125,510,19.41,1.066
MATICUSDT,1h,30,100,1327.74,-68.17,0.181,487,18.89,1.14
MATICUSDT,1h,30,150,304.98,-82.46,0.133,456,17.54,1.086
MATICUSDT,1h,40,50,164.74,-72.21,0.114,640,27.19,1.051
MATICUSDT,1h,40,75,676.97,-72.87,0.157,512,21.88,1.096
MATICUSDT,1h,40,100,972.37,-65.36,0.17,477,18.87,1.143
MATICUSDT,1h,40,150,340.87,-77.07,0.136,453,17.88,1.117
