symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
SOLUSDT,4h,5,30,1642.77,-58.61,0.352,239,27.2,1.215
SOLUSDT,4h,5,50,2731.64,-68.69,0.386,198,22.22,1.335
SOLUSDT,4h,5,75,5812.54,-67.01,0.438,179,20.11,1.402
SOLUSDT,4h,5,100,7896.65,-66.98,0.457,165,19.39,1.455
SOLUSDT,4h,5,150,11732.38,-72.41,0.48,145,14.48,1.494
SOLUSDT,4h,10,30,2201.44,-68.34,0.374,224,28.12,1.213
SOLUSDT,4h,10,50,2869.93,-71.53,0.39,173,24.28,1.334
SOLUSDT,4h,10,75,5117.26,-70.48,0.429,155,21.29,1.468
SOLUSDT,4h,10,100,10100.12,-68.8,0.473,152,21.05,1.455
SOLUSDT,4h,10,150,7854.09,-78.5,0.452,138,14.49,1.458
SOLUSDT,4h,15,30,905.91,-73.93,0.309,213,30.05,1.191
SOLUSDT,4h,15,50,2425.81,-70.63,0.378,164,24.39,1.374
SOLUSDT,4h,15,75,6960.96,-63.98,0.452,155,20.65,1.409
SOLUSDT,4h,15,100,7103.27,-68.04,0.449,143,20.28,1.492
SOLUSDT,4h,15,150,11346.43,-74.93,0.479,133,18.05,1.507
SOLUSDT,4h,20,30,1193.96,-73.9,0.33,225,32.0,1.212
SOLUSDT,4h,20,50,2394.14,-69.68,0.377,170,24.12,1.365
SOLUSDT,4h,20,75,3915.25,-69.32,0.41,154,18.83,1.34
SOLUSDT,4h,20,100,10101.66,-71.28,0.476,135,21.48,1.472
SOLUSDT,4h,20,150,10158.58,-78.03,0.472,129,18.6,1.478
SOLUSDT,4h,30,50,2099.89,-67.81,0.368,174,21.84,1.339
SOLUSDT,4h,30,75,5527.66,-68.85,0.437,149,18.12,1.354
SOLUSDT,4h,30,100,5160.31,-71.41,0.428,136,16.91,1.33
SOLUSDT,4h,30,150,14388.9,-71.42,0.498,125,17.6,1.606
SOLUSDT,4h,40,50,6953.42,-66.66,0.46,194,25.26,1.381
SOLUSDT,4h,40,75,5529.11,-64.99,0.437,159,21.38,1.282
SOLUSDT,4h,40,100,11504.11,-58.46,0.489,132,21.21,1.437
SOLUSDT,4h,40,150,9753.84,-76.7,0.472,118,20.34,1.488
