symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
XRPUSDT,4h,5,30,633.45,-70.77,0.275,264,20.83,1.214
XRPUSDT,4h,5,50,743.29,-77.11,0.285,224,17.41,1.313
XRPUSDT,4h,5,75,974.43,-62.4,0.304,201,16.42,1.329
XRPUSDT,4h,5,100,1390.11,-63.17,0.328,185,13.51,1.419
XRPUSDT,4h,5,150,951.72,-63.73,0.298,170,15.29,1.308
XRPUSDT,4h,10,30,678.56,-70.8,0.28,240,22.92,1.239
XRPUSDT,4h,10,50,1121.5,-66.38,0.317,198,19.19,1.368
XRPUSDT,4h,10,75,1614.58,-54.91,0.342,178,17.42,1.459
XRPUSDT,4h,10,100,2286.31,-55.63,0.366,162,16.67,1.635
XRPUSDT,4h,10,150,1083.92,-57.15,0.308,144,15.97,1.424
XRPUSDT,4h,15,30,453.8,-70.31,0.251,234,23.5,1.215
XRPUSDT,4h,15,50,2077.4,-58.79,0.366,187,22.99,1.437
XRPUSDT,4h,15,75,2243.41,-55.29,0.37,167,16.77,1.588
XRPUSDT,4h,15,100,2238.06,-57.37,0.366,152,18.42,1.731
XRPUSDT,4h,15,150,663.73,-71.39,0.276,133,15.04,1.452
XRPUSDT,4h,20,30,794.6,-70.33,0.292,231,27.27,1.225
XRPUSDT,4h,20,50,2593.18,-54.32,0.385,177,20.9,1.49
XRPUSDT,4h,20,75,2336.68,-52.17,0.374,156,17.31,1.661
XRPUSDT,4h,20,100,2858.72,-52.53,0.386,140,20.0,1.874
XRPUSDT,4h,20,150,789.94,-65.9,0.289,128,17.97,1.455
XRPUSDT,4h,30,50,2462.34,-55.13,0.383,182,21.98,1.422
XRPUSDT,4h,30,75,1680.07,-57.48,0.354,151,19.21,1.532
XRPUSDT,4h,30,100,2487.41,-48.69,0.382,133,17.29,1.849
XRPUSDT,4h,30,150,1179.53,-57.98,0.32,121,16.53,1.63
XRPUSDT,4h,40,50,2534.04,-53.17,0.385,194,26.8,1.433
XRPUSDT,4h,40,75,1624.08,-57.57,0.352,147,16.33,1.439
XRPUSDT,4h,40,100,2414.59,-50.8,0.379,126,18.25,1.651
XRPUSDT,4h,40,150,1012.54,-64.74,0.309,121,18.18,1.599
